seq,pat,naive,naive2,kmp,kmp2,bmh
1000000,10000,6.221000148798339e-06,5.9100057114847e-07,1.1119991540908813e-06,8.320002962136641e-07,6.40999132883735e-07
1000000,10000,5.019001036998816e-06,4.5100023271515965e-07,6.509999366244301e-07,7.709986675763503e-07,5.720012268284336e-07
1000000,10000,5.150001015863381e-06,4.2000101529993117e-07,6.919999577803537e-07,9.310006134910509e-07,6.320005923043936e-07
1000000,10000,3.7869995139772072e-06,4.3000000005122274e-07,6.919999577803537e-07,1.1329993867548183e-06,6.020000000717118e-07
1000000,10000,5.329000487108715e-06,4.1000021155923605e-07,7.40999894333072e-07,7.819999154889956e-07,5.909987521590665e-07
1000000,10000,5.590000000665896e-06,4.109988367417827e-07,1.2420005077729002e-06,9.81999619398266e-07,6.209993443917483e-07
1000000,10000,6.061000021873042e-06,5.210004019318148e-07,1.2429991329554468e-06,8.21999492472969e-07,9.920004231389612e-07
1000000,10000,4.358000296633691e-06,4.0099985199049115e-07,7.809994713170454e-07,6.919999577803537e-07,4.410012479638681e-07
1000000,10000,5.539999619941227e-06,5.009987944504246e-07,9.010000212583691e-07,6.609989213757217e-07,6.009995558997616e-07
1000000,10000,4.739000360132195e-06,4.1000021155923605e-07,8.41000655782409e-07,7.72000930737704e-07,6.020000000717118e-07
1000000,10000,5.1390015869401395e-06,5.209985829424113e-07,8.21999492472969e-07,9.409995982423425e-07,5.509991751750931e-07
1000000,10000,5.559999408433214e-06,3.899986040778458e-07,6.209993443917483e-07,8.009992598090321e-07,7.020007615210488e-07
1000000,10000,5.23999915458262e-06,4.7100002120714635e-07,6.509999366244301e-07,7.920007192296907e-07,7.509988790843636e-07
1000000,10000,5.390000296756625e-06,4.5100023271515965e-07,6.509999366244301e-07,8.120005077216774e-07,6.110003596404567e-07
1000000,10000,3.4460008464520797e-06,5.509991751750931e-07,8.620008884463459e-07,7.110011210897937e-07,4.809990059584379e-07
1000000,10000,3.946999640902504e-06,4.6100103645585477e-07,6.509999366244301e-07,9.90999978967011e-07,5.809997674077749e-07
1000000,10000,4.046998583362438e-06,5.809997674077749e-07,8.210008672904223e-07,7.520011422457173e-07,4.810008249478415e-07
1000000,10000,5.7800007198238745e-06,4.5100023271515965e-07,6.310001481324434e-07,6.919999577803537e-07,6.12000803812407e-07
1000000,10000,3.7369991332525387e-06,4.2000101529993117e-07,6.610007403651252e-07,7.719991117483005e-07,6.009995558997616e-07
1000000,10000,3.907000063918531e-06,5.210004019318148e-07,5.410001904238015e-07,1.022001015371643e-06,5.509991751750931e-07
1000000,10000,3.64600055036135e-06,4.4099942897446454e-07,7.119997462723404e-07,8.509996405337006e-07,5.909987521590665e-07
1000000,10000,3.1659983505960554e-06,5.010006134398282e-07,9.020004654303193e-07,8.110000635497272e-07,5.410001904238015e-07
1000000,10000,3.7770005292259157e-06,7.110011210897937e-07,7.40999894333072e-07,9.010000212583691e-07,5.309993866831064e-07
1000000,10000,4.388000888866372e-06,5.210004019318148e-07,7.420003385050222e-07,8.320002962136641e-07,5.609999789157882e-07
1000000,10000,4.257999535184354e-06,4.90999809699133e-07,7.609996828250587e-07,8.119986887322739e-07,6.110003596404567e-07
1000000,10000,3.4660006349440664e-06,4.4000080379191786e-07,9.22000253922306e-07,8.120005077216774e-07,5.710007826564834e-07
1000000,10000,4.088000423507765e-06,4.6100103645585477e-07,6.909995136084035e-07,9.71998815657571e-07,5.410001904238015e-07
1000000,10000,4.027000613859855e-06,5.209985829424113e-07,5.509991751750931e-07,8.110000635497272e-07,6.810005288571119e-07
1000000,10000,3.6370001907926053e-06,4.810008249478415e-07,6.610007403651252e-07,9.319992386735976e-07,5.509991751750931e-07
1000000,10000,3.7970003177179024e-06,4.7100002120714635e-07,5.920010153204203e-07,7.210001058410853e-07,5.909987521590665e-07
1000000,10000,3.6170004023006186e-06,3.6100027500651777e-07,8.819988579489291e-07,6.809987098677084e-07,5.609999789157882e-07
1000000,10000,3.826999090961181e-06,4.4099942897446454e-07,6.809987098677084e-07,8.220013114623725e-07,6.110003596404567e-07
1000000,10000,4.368001100374386e-06,4.109988367417827e-07,6.710015441058204e-07,7.309990905923769e-07,4.4099942897446454e-07
1000000,10000,3.256000127294101e-06,3.5999983083456755e-07,7.72000930737704e-07,9.619998309062794e-07,5.609999789157882e-07
1000000,10000,3.3959986467380077e-06,3.6100027500651777e-07,1.1620013538049534e-06,7.109993021003902e-07,4.90999809699133e-07
1000000,10000,3.065999408136122e-06,4.0099985199049115e-07,6.110003596404567e-07,9.619998309062794e-07,5.510009941644967e-07
1000000,10000,4.5979995775269344e-06,4.1100065573118627e-07,8.209990483010188e-07,7.510006980737671e-07,4.5100023271515965e-07
1000000,10000,3.266000931034796e-06,3.7000063457526267e-07,5.710007826564834e-07,7.820017344783992e-07,5.609999789157882e-07
1000000,10000,3.4559998312033713e-06,3.8100006349850446e-07,6.710015441058204e-07,6.710015441058204e-07,5.509991751750931e-07
1000000,10000,3.5869998100679368e-06,4.4099942897446454e-07,6.209993443917483e-07,8.710012480150908e-07,6.110003596404567e-07
1000000,10000,2.6849993446376175e-06,3.7999961932655424e-07,7.619983080076054e-07,6.009995558997616e-07,5.410001904238015e-07
1000000,10000,4.7290013753809035e-06,4.109988367417827e-07,6.91001332597807e-07,1.082000380847603e-06,5.610017979051918e-07
1000000,10000,3.445999027462676e-06,3.5999983083456755e-07,7.809994713170454e-07,6.819991540396586e-07,6.40999132883735e-07
1000000,10000,4.8389993025921285e-06,4.2099964048247784e-07,7.210001058410853e-07,9.010000212583691e-07,6.810005288571119e-07
