seq,pat,naive,naive2,kmp,kmp2,bmh
100000,1000,2.46399940806441e-06,3.5099947126582265e-07,4.209978214930743e-07,4.0099985199049115e-07,4.609973984770477e-07
100000,1000,5.709989636670798e-07,2.5100234779529274e-07,2.310007403139025e-07,2.310007403139025e-07,2.410015440545976e-07
100000,1000,2.5049994292203337e-06,3.300010575912893e-07,4.899993655271828e-07,4.209978214930743e-07,4.310022632125765e-07
100000,1000,3.6100027500651777e-07,2.310007403139025e-07,2.310007403139025e-07,2.3000029614195228e-07,2.400010998826474e-07
100000,1000,4.458001058083028e-06,4.2000101529993117e-07,5.309993866831064e-07,6.310001481324434e-07,5.609981599263847e-07
100000,1000,2.254997525596991e-06,3.899986040778458e-07,7.819980964995921e-07,4.2000101529993117e-07,4.5100023271515965e-07
100000,1000,4.309986252337694e-07,2.310007403139025e-07,2.3000029614195228e-07,2.1999949240125716e-07,2.500019036233425e-07
100000,1000,3.5999983083456755e-07,2.400010998826474e-07,2.399974619038403e-07,2.3000029614195228e-07,2.310007403139025e-07
100000,1000,1.763000909704715e-06,4.4100306695327163e-07,3.9999940781854093e-07,4.5100023271515965e-07,4.210014594718814e-07
100000,1000,1.7829988792072982e-06,4.0099985199049115e-07,4.4099942897446454e-07,5.9100057114847e-07,4.210014594718814e-07
100000,1000,2.253997081425041e-06,2.2999665816314518e-07,4.809990059584379e-07,3.9099904824979603e-07,6.91001332597807e-07
100000,1000,2.0239967852830887e-06,2.3000029614195228e-07,5.309993866831064e-07,3.4099866752512753e-07,4.209978214930743e-07
100000,1000,4.5100023271515965e-07,2.309971023350954e-07,2.410015440545976e-07,2.3000029614195228e-07,2.6000270736403763e-07
100000,1000,4.0100348996929824e-07,2.409979060757905e-07,2.310007403139025e-07,2.310007403139025e-07,2.5099870981648564e-07
100000,1000,2.0330007828306407e-06,4.309986252337694e-07,4.209978214930743e-07,3.410023055039346e-07,4.4999978854320943e-07
100000,1000,4.1100065573118627e-07,2.310007403139025e-07,2.310007403139025e-07,2.399974619038403e-07,2.499982656445354e-07
100000,1000,2.6850029826164246e-06,4.209978214930743e-07,8.120005077216774e-07,5.609981599263847e-07,4.5100023271515965e-07
100000,1000,4.309986252337694e-07,2.309971023350954e-07,2.710003172978759e-07,2.6100315153598785e-07,2.6099951355718076e-07
100000,1000,2.044002030743286e-06,5.310030246619135e-07,5.409965524449944e-07,4.4099942897446454e-07,5.410001904238015e-07
100000,1000,1.5430014173034579e-06,4.4099942897446454e-07,3.399982233531773e-07,4.309986252337694e-07,3.809982445091009e-07
100000,1000,2.1239975467324257e-06,3.709974407684058e-07,7.72000930737704e-07,4.310022632125765e-07,5.510009941644967e-07
100000,1000,4.310022632125765e-07,2.310007403139025e-07,2.310007403139025e-07,2.410015440545976e-07,2.400010998826474e-07
100000,1000,3.6100027500651777e-07,2.410015440545976e-07,2.410015440545976e-07,2.310007403139025e-07,2.5100234779529274e-07
100000,1000,3.900022420566529e-07,2.3000029614195228e-07,2.399974619038403e-07,2.499982656445354e-07,2.6000270736403763e-07
200000,1000,1.3620010577142239e-06,2.3000029614195228e-07,3.6100027500651777e-07,3.7000063457526267e-07,2.400010998826474e-07
200000,1000,8.919996616896242e-07,3.809982445091009e-07,2.800006768666208e-07,2.500019036233425e-07,2.3000029614195228e-07
200000,1000,4.0099985199049115e-07,2.499982656445354e-07,2.400010998826474e-07,2.5099870981648564e-07,2.5100234779529274e-07
200000,1000,4.6100103645585477e-07,2.400010998826474e-07,2.499982656445354e-07,2.409979060757905e-07,2.309971023350954e-07
200000,1000,4.4099942897446454e-07,2.409979060757905e-07,2.5100234779529274e-07,2.6099951355718076e-07,2.81001121038571e-07
200000,1000,2.273998688906431e-06,3.410023055039346e-07,7.320013537537307e-07,7.819980964995921e-07,5.200017767492682e-07
200000,1000,1.3120006769895554e-06,3.0999945010989904e-07,3.6100027500651777e-07,3.4999902709387243e-07,3.0999945010989904e-07
200000,1000,1.8840000848285854e-06,3.4099866752512753e-07,6.010013748891652e-07,4.709982022177428e-07,5.309993866831064e-07
200000,1000,1.2230011634528637e-06,3.81001882487908e-07,4.0099985199049115e-07,3.500026650726795e-07,3.5099947126582265e-07
200000,1000,2.173997927457094e-06,3.5099947126582265e-07,5.410001904238015e-07,4.4099942897446454e-07,5.510009941644967e-07
200000,1000,2.2040003386791795e-06,4.6100103645585477e-07,4.1100065573118627e-07,4.6100103645585477e-07,5.410001904238015e-07
200000,1000,2.34400067711249e-06,3.410023055039346e-07,4.210014594718814e-07,6.709997251164168e-07,4.1100065573118627e-07
200000,1000,1.943997631315142e-06,3.7000063457526267e-07,4.309986252337694e-07,4.310022632125765e-07,4.709982022177428e-07
200000,1000,2.2940002963878214e-06,3.299974196124822e-07,4.2000101529993117e-07,4.309986252337694e-07,5.920010153204203e-07
200000,1000,4.809990059584379e-07,2.5999906938523054e-07,2.3000029614195228e-07,2.399974619038403e-07,2.5999906938523054e-07
200000,1000,1.0920011845882982e-06,2.6999987312592566e-07,3.4099866752512753e-07,4.299981810618192e-07,2.499982656445354e-07
200000,1000,9.420000424142927e-07,2.400010998826474e-07,2.3000029614195228e-07,2.499982656445354e-07,2.400010998826474e-07
200000,1000,1.934000465553254e-06,2.2099993657320738e-07,4.1100065573118627e-07,4.299981810618192e-07,4.4099942897446454e-07
200000,1000,1.8130012904293835e-06,2.3000029614195228e-07,4.81002643937245e-07,4.609973984770477e-07,2.6099951355718076e-07
200000,1000,2.474000211805105e-06,3.209970600437373e-07,5.309993866831064e-07,5.609981599263847e-07,4.800021997652948e-07
200000,1000,1.004799923975952e-05,6.710033630952239e-07,1.0119983926415443e-06,1.353000698145479e-06,1.471998984925449e-06
200000,1000,2.1939995349384844e-06,3.0999945010989904e-07,4.0099985199049115e-07,4.5100023271515965e-07,4.6100103645585477e-07
200000,1000,2.1329979063011706e-06,4.5100023271515965e-07,4.5100023271515965e-07,5.809997674077749e-07,4.6000059228390455e-07
200000,1000,6.91001332597807e-07,2.5999906938523054e-07,2.6099951355718076e-07,2.410015440545976e-07,2.81001121038571e-07
200000,1000,2.8650028980337083e-06,3.310015017632395e-07,6.209993443917483e-07,4.310022632125765e-07,4.399989848025143e-07
200000,1000,2.6950001483783126e-06,3.2000025385059416e-07,5.9100057114847e-07,4.309986252337694e-07,4.4099942897446454e-07
200000,1000,2.8750000637955964e-06,3.2000025385059416e-07,4.210014594718814e-07,5.010006134398282e-07,4.709982022177428e-07
200000,1000,3.315999492770061e-06,3.299974196124822e-07,3.4099866752512753e-07,4.309986252337694e-07,5.610017979051918e-07
200000,1000,5.210022209212184e-07,2.6099951355718076e-07,2.409979060757905e-07,2.499982656445354e-07,2.500019036233425e-07
200000,1000,1.5219993656501174e-06,2.5999906938523054e-07,3.310015017632395e-07,3.1099989428184927e-07,3.210006980225444e-07
200000,1000,3.809982445091009e-07,2.5999906938523054e-07,2.2999665816314518e-07,2.309971023350954e-07,2.410015440545976e-07
200000,1000,2.535001840442419e-06,3.5999983083456755e-07,6.109985406510532e-07,4.910034476779401e-07,4.809990059584379e-07
200000,1000,6.020018190611154e-07,2.3000029614195228e-07,2.309971023350954e-07,2.410015440545976e-07,2.410015440545976e-07
200000,1000,2.0240004232618958e-06,3.710010787472129e-07,4.4099942897446454e-07,5.709989636670798e-07,4.90999809699133e-07
200000,1000,1.4020006346981972e-06,3.5100310924462974e-07,7.010021363385022e-07,3.4999902709387243e-07,3.310015017632395e-07
200000,1000,3.606000973377377e-06,3.4999902709387243e-07,7.620001269970089e-07,5.809997674077749e-07,4.210014594718814e-07
200000,1000,1.952997990883887e-06,3.310015017632395e-07,4.6100103645585477e-07,4.1100065573118627e-07,4.4099942897446454e-07
200000,1000,6.010013748891652e-07,2.499982656445354e-07,2.6999987312592566e-07,2.410015440545976e-07,2.5099870981648564e-07
200000,1000,4.2000101529993117e-07,2.3000029614195228e-07,2.500019036233425e-07,2.3000029614195228e-07,2.400010998826474e-07
200000,1000,3.9099904824979603e-07,2.3000029614195228e-07,2.400010998826474e-07,2.3000029614195228e-07,2.2999665816314518e-07
200000,1000,4.0099985199049115e-07,2.710003172978759e-07,2.710003172978759e-07,2.309971023350954e-07,2.409979060757905e-07
200000,1000,1.6030026017688215e-06,3.210006980225444e-07,4.309986252337694e-07,4.0099985199049115e-07,4.209978214930743e-07
200000,1000,2.092998329317197e-06,2.3000029614195228e-07,4.90999809699133e-07,4.109970177523792e-07,4.209978214930743e-07
200000,1000,2.143999154213816e-06,3.4999902709387243e-07,4.910034476779401e-07,4.1100065573118627e-07,4.809990059584379e-07
200000,1000,3.01599720842205e-06,3.210006980225444e-07,5.210022209212184e-07,4.1100065573118627e-07,4.6100103645585477e-07
200000,1000,2.1940031729172915e-06,6.410009518731385e-07,4.309986252337694e-07,3.300010575912893e-07,5.409965524449944e-07
200000,1000,1.963002432603389e-06,4.309986252337694e-07,4.1100065573118627e-07,4.2000101529993117e-07,5.510009941644967e-07
200000,1000,2.333999873371795e-06,3.2000025385059416e-07,5.309993866831064e-07,4.5100023271515965e-07,3.5999983083456755e-07
200000,1000,2.233999111922458e-06,3.0999945010989904e-07,4.2000101529993117e-07,4.209978214930743e-07,4.699977580457926e-07
200000,1000,4.210014594718814e-07,2.499982656445354e-07,2.310007403139025e-07,2.2099993657320738e-07,2.6099951355718076e-07
300000,1000,2.6240013539791107e-06,3.309978637844324e-07,6.609989213757217e-07,4.309986252337694e-07,6.709997251164168e-07
300000,1000,2.625001798151061e-06,4.6100103645585477e-07,4.5100023271515965e-07,4.710018401965499e-07,4.5100023271515965e-07
300000,1000,4.710018401965499e-07,2.5100234779529274e-07,2.400010998826474e-07,2.3000029614195228e-07,3.4999902709387243e-07
300000,1000,2.363998646615073e-06,5.000001692678779e-07,7.810012903064489e-07,4.4100306695327163e-07,3.5099947126582265e-07
300000,1000,1.9940016500186175e-06,3.210006980225444e-07,5.210022209212184e-07,4.309986252337694e-07,4.4100306695327163e-07
300000,1000,2.233999111922458e-06,3.400018613319844e-07,8.110000635497272e-07,5.609981599263847e-07,4.5100023271515965e-07
300000,1000,3.1150011636782438e-06,4.710018401965499e-07,7.509988790843636e-07,6.109985406510532e-07,8.90999217517674e-07
300000,1000,8.710012480150908e-07,3.4999902709387243e-07,3.0999945010989904e-07,3.310015017632395e-07,3.309978637844324e-07
300000,1000,2.353997842874378e-06,3.399982233531773e-07,8.009992598090321e-07,4.5100023271515965e-07,5.609981599263847e-07
300000,1000,2.1839987311977893e-06,3.5099947126582265e-07,7.609996828250587e-07,4.5099659473635256e-07,5.209985829424113e-07
300000,1000,5.609981599263847e-07,2.499982656445354e-07,2.3000029614195228e-07,3.2000025385059416e-07,2.400010998826474e-07
300000,1000,2.3650027287658304e-06,3.400018613319844e-07,1.0519979696255177e-06,4.5100023271515965e-07,5.609981599263847e-07
300000,1000,4.399989848025143e-07,2.5999906938523054e-07,2.6000270736403763e-07,2.499982656445354e-07,2.800006768666208e-07
300000,1000,2.7659989427775145e-06,4.4099942897446454e-07,8.110000635497272e-07,5.309993866831064e-07,5.010006134398282e-07
300000,1000,1.8430000636726618e-06,3.4999902709387243e-07,4.309986252337694e-07,4.309986252337694e-07,5.309993866831064e-07
300000,1000,2.34400067711249e-06,3.809982445091009e-07,4.0099985199049115e-07,5.609981599263847e-07,5.210022209212184e-07
300000,1000,1.863001671154052e-06,2.399974619038403e-07,4.310022632125765e-07,4.210014594718814e-07,4.4100306695327163e-07
300000,1000,4.0099985199049115e-07,2.310007403139025e-07,2.410015440545976e-07,2.410015440545976e-07,2.5100234779529274e-07
300000,1000,4.90999809699133e-07,2.399974619038403e-07,4.299981810618192e-07,2.3000029614195228e-07,2.6999987312592566e-07
300000,1000,4.400026227813214e-07,5.510009941644967e-07,2.500019036233425e-07,4.5100023271515965e-07,3.309978637844324e-07
300000,1000,4.0099985199049115e-07,2.5999906938523054e-07,2.3000029614195228e-07,2.0999868866056204e-07,2.3000029614195228e-07
300000,1000,1.972999598365277e-06,5.410001904238015e-07,3.310015017632395e-07,3.4999902709387243e-07,5.509973561856896e-07
300000,1000,2.6649977371562272e-06,3.2000025385059416e-07,4.809990059584379e-07,3.309978637844324e-07,7.220005500130355e-07
300000,1000,2.2240019461605698e-06,2.409979060757905e-07,4.90999809699133e-07,3.399982233531773e-07,4.4099942897446454e-07
300000,1000,3.877001290675253e-06,3.709974407684058e-07,5.809997674077749e-07,4.1100065573118627e-07,4.809990059584379e-07
300000,1000,2.363998646615073e-06,4.4099942897446454e-07,4.5100023271515965e-07,6.710033630952239e-07,7.90998456068337e-07
300000,1000,2.2139975044410676e-06,3.5099947126582265e-07,4.0099985199049115e-07,4.210014594718814e-07,4.4100306695327163e-07
300000,1000,5.809997674077749e-07,2.3000029614195228e-07,2.309971023350954e-07,3.210006980225444e-07,4.90999809699133e-07
300000,1000,2.3550019250251353e-06,3.7000063457526267e-07,4.799985617864877e-07,4.309986252337694e-07,6.609989213757217e-07
300000,1000,2.1140003809705377e-06,3.6100027500651777e-07,5.9100057114847e-07,4.2000101529993117e-07,4.309986252337694e-07
300000,1000,2.1039995772298425e-06,3.5999983083456755e-07,4.300018190406263e-07,4.209978214930743e-07,4.4999978854320943e-07
300000,1000,5.509973561856896e-07,6.310001481324434e-07,2.499982656445354e-07,2.3000029614195228e-07,2.399974619038403e-07
300000,1000,2.234002749901265e-06,3.5999983083456755e-07,4.90999809699133e-07,5.410001904238015e-07,5.809997674077749e-07
300000,1000,1.3930002751294523e-06,4.4099942897446454e-07,4.0099985199049115e-07,5.000001692678779e-07,3.809982445091009e-07
300000,1000,2.263997885165736e-06,3.710010787472129e-07,4.4099942897446454e-07,6.810005288571119e-07,5.510009941644967e-07
300000,1000,2.0939987734891474e-06,3.309978637844324e-07,4.1000021155923605e-07,3.709974407684058e-07,5.309993866831064e-07
300000,1000,2.134001988451928e-06,3.5099947126582265e-07,5.010006134398282e-07,3.5099947126582265e-07,5.009969754610211e-07
300000,1000,2.1939995349384844e-06,3.5099947126582265e-07,4.800021997652948e-07,3.4099866752512753e-07,5.310030246619135e-07
300000,1000,1.9839972082991153e-06,3.5099947126582265e-07,4.210014594718814e-07,3.5999983083456755e-07,5.410001904238015e-07
300000,1000,2.644999767653644e-06,3.399982233531773e-07,4.90999809699133e-07,3.5099947126582265e-07,6.410009518731385e-07
300000,1000,5.210022209212184e-07,3.310015017632395e-07,2.410015440545976e-07,3.310015017632395e-07,5.510009941644967e-07
300000,1000,3.7470017559826374e-06,4.809990059584379e-07,4.6100103645585477e-07,5.510009941644967e-07,5.209985829424113e-07
300000,1000,1.9030012481380254e-06,4.210014594718814e-07,5.409965524449944e-07,4.309986252337694e-07,5.109977792017162e-07
300000,1000,1.663000148255378e-06,3.5099947126582265e-07,4.4100306695327163e-07,5.010006134398282e-07,7.009984983596951e-07
300000,1000,7.310009095817804e-07,3.310015017632395e-07,2.5099870981648564e-07,3.210006980225444e-07,3.299974196124822e-07
300000,1000,2.1939995349384844e-06,3.310015017632395e-07,7.72000930737704e-07,5.9100057114847e-07,5.510009941644967e-07
300000,1000,2.0740008039865643e-06,3.2000025385059416e-07,3.9999940781854093e-07,3.410023055039346e-07,5.510009941644967e-07
300000,1000,2.5849985831882805e-06,3.5099947126582265e-07,5.510009941644967e-07,4.90999809699133e-07,6.210029823705554e-07
300000,1000,2.0240004232618958e-06,3.4099866752512753e-07,4.309986252337694e-07,4.209978214930743e-07,5.010006134398282e-07
300000,1000,2.052998752333224e-06,3.309978637844324e-07,4.0099985199049115e-07,4.709982022177428e-07,5.209985829424113e-07
400000,1000,3.697001375257969e-06,3.400018613319844e-07,7.819980964995921e-07,4.4099942897446454e-07,3.709974407684058e-07
400000,1000,2.2040003386791795e-06,4.309986252337694e-07,5.009969754610211e-07,4.1000021155923605e-07,4.6100103645585477e-07
400000,1000,1.082000380847603e-06,3.300010575912893e-07,2.5100234779529274e-07,3.1099989428184927e-07,3.310015017632395e-07
400000,1000,1.1119991540908813e-06,5.809997674077749e-07,3.2000025385059416e-07,3.299974196124822e-07,4.309986252337694e-07
400000,1000,2.1840023691765964e-06,5.809997674077749e-07,4.210014594718814e-07,4.609973984770477e-07,5.209985829424113e-07
400000,1000,2.043998392764479e-06,3.309978637844324e-07,4.2000101529993117e-07,4.309986252337694e-07,5.309993866831064e-07
400000,1000,2.435001078993082e-06,3.5099947126582265e-07,5.309993866831064e-07,5.109977792017162e-07,5.710026016458869e-07
400000,1000,3.0459996196441352e-06,4.809990059584379e-07,4.609973984770477e-07,4.809990059584379e-07,6.209993443917483e-07
400000,1000,3.0760020308662206e-06,3.809982445091009e-07,4.209978214930743e-07,8.90999217517674e-07,5.510009941644967e-07
400000,1000,2.1839987311977893e-06,3.4099866752512753e-07,4.90999809699133e-07,5.9100057114847e-07,4.399989848025143e-07
400000,1000,3.526998625602573e-06,4.309986252337694e-07,4.90999809699133e-07,4.309986252337694e-07,4.4099942897446454e-07
400000,1000,3.917000867659226e-06,5.010006134398282e-07,7.620001269970089e-07,4.400026227813214e-07,5.309993866831064e-07
400000,1000,2.333999873371795e-06,5.109977792017162e-07,8.809984137769789e-07,4.4999978854320943e-07,4.609973984770477e-07
400000,1000,2.363998646615073e-06,3.2000025385059416e-07,5.309993866831064e-07,4.90999809699133e-07,7.320013537537307e-07
400000,1000,2.2740023268852383e-06,3.4999902709387243e-07,4.6100103645585477e-07,3.5100310924462974e-07,6.72000169288367e-07
400000,1000,1.2319978850428015e-06,3.4099866752512753e-07,3.310015017632395e-07,4.609973984770477e-07,7.710004865657538e-07
400000,1000,1.9740000425372273e-06,3.399982233531773e-07,4.6100103645585477e-07,4.300018190406263e-07,5.819965736009181e-07
400000,1000,2.1940031729172915e-06,3.5100310924462974e-07,4.910034476779401e-07,5.309993866831064e-07,6.709997251164168e-07
400000,1000,2.233999111922458e-06,3.500026650726795e-07,5.9100057114847e-07,4.4099942897446454e-07,5.410001904238015e-07
400000,1000,1.9939980120398104e-06,3.309978637844324e-07,5.9100057114847e-07,4.1100065573118627e-07,7.819980964995921e-07
400000,1000,3.2759999157860875e-06,3.5999983083456755e-07,4.309986252337694e-07,4.2000101529993117e-07,5.809997674077749e-07
400000,1000,1.0919975466094911e-06,5.410001904238015e-07,2.400010998826474e-07,3.4099866752512753e-07,3.710010787472129e-07
400000,1000,2.4949986254796386e-06,5.609981599263847e-07,4.4999978854320943e-07,4.209978214930743e-07,5.309993866831064e-07
400000,1000,2.333999873371795e-06,2.400010998826474e-07,7.009984983596951e-07,4.6100103645585477e-07,3.410023055039346e-07
400000,1000,2.034001227002591e-06,4.1100065573118627e-07,5.510009941644967e-07,5.410001904238015e-07,4.6100103645585477e-07
400000,1000,2.564000169513747e-06,3.310015017632395e-07,4.900030035059899e-07,5.609981599263847e-07,4.5100023271515965e-07
400000,1000,1.8330028979107738e-06,3.310015017632395e-07,4.90999809699133e-07,4.6100103645585477e-07,4.90999809699133e-07
400000,1000,1.8529972294345498e-06,3.4099866752512753e-07,7.72000930737704e-07,5.300025804899633e-07,4.4099942897446454e-07
400000,1000,1.963002432603389e-06,3.300010575912893e-07,4.5099659473635256e-07,5.610017979051918e-07,6.62003003526479e-07
400000,1000,2.9959992389194667e-06,3.1099989428184927e-07,5.920010153204203e-07,4.81002643937245e-07,4.2000101529993117e-07
400000,1000,2.3050015443004668e-06,3.6000346881337464e-07,5.410001904238015e-07,4.1100065573118627e-07,5.9100057114847e-07
400000,1000,3.5869998100679368e-06,4.710018401965499e-07,5.609981599263847e-07,4.1100065573118627e-07,5.110014171805233e-07
400000,1000,2.8050017135683447e-06,3.299974196124822e-07,4.299981810618192e-07,4.5100023271515965e-07,4.709982022177428e-07
400000,1000,2.935998054454103e-06,3.709974407684058e-07,5.809997674077749e-07,4.5100023271515965e-07,5.709989636670798e-07
400000,1000,2.373999450355768e-06,4.399989848025143e-07,4.6000059228390455e-07,4.210014594718814e-07,5.609981599263847e-07
400000,1000,2.1039995772298425e-06,3.300010575912893e-07,4.699977580457926e-07,4.4099942897446454e-07,5.709989636670798e-07
400000,1000,2.153999957954511e-06,3.7000063457526267e-07,7.710004865657538e-07,4.6100103645585477e-07,5.209985829424113e-07
400000,1000,2.243999915663153e-06,6.310001481324434e-07,5.90996933169663e-07,4.4099942897446454e-07,4.4099942897446454e-07
400000,1000,2.6050001906696707e-06,3.4099866752512753e-07,4.310022632125765e-07,6.210029823705554e-07,5.81003405386582e-07
400000,1000,2.153999957954511e-06,5.010006134398282e-07,7.820017344783992e-07,5.709989636670798e-07,5.410001904238015e-07
400000,1000,2.344997483305633e-06,2.3000029614195228e-07,5.010006134398282e-07,4.309986252337694e-07,4.1100065573118627e-07
400000,1000,1.9229992176406085e-06,3.210006980225444e-07,9.119976311922073e-07,5.9100057114847e-07,5.609981599263847e-07
400000,1000,2.363998646615073e-06,4.1100065573118627e-07,4.90999809699133e-07,4.6000059228390455e-07,5.209985829424113e-07
400000,1000,1.924003299791366e-06,3.4099866752512753e-07,6.010013748891652e-07,4.309986252337694e-07,5.709989636670798e-07
400000,1000,2.2140011424198747e-06,4.4999978854320943e-07,5.209985829424113e-07,4.1100065573118627e-07,5.709989636670798e-07
400000,1000,3.245997504564002e-06,4.899993655271828e-07,4.6100103645585477e-07,4.309986252337694e-07,5.809997674077749e-07
400000,1000,1.2019991117995232e-06,3.310015017632395e-07,3.300010575912893e-07,4.1000021155923605e-07,6.209993443917483e-07
400000,1000,2.7339992811903358e-06,3.309978637844324e-07,4.90999809699133e-07,4.5100023271515965e-07,5.609981599263847e-07
400000,1000,3.706998541019857e-06,3.710010787472129e-07,8.120005077216774e-07,4.609973984770477e-07,5.409965524449944e-07
400000,1000,2.1129999367985874e-06,3.310015017632395e-07,4.81002643937245e-07,5.90996933169663e-07,7.220005500130355e-07
500000,1000,2.5650006136856973e-06,3.210006980225444e-07,6.709997251164168e-07,3.7000063457526267e-07,4.310022632125765e-07
500000,1000,2.263997885165736e-06,3.2000025385059416e-07,5.309993866831064e-07,3.500026650726795e-07,6.410009518731385e-07
500000,1000,1.8330028979107738e-06,3.4999902709387243e-07,5.90996933169663e-07,5.200017767492682e-07,5.210022209212184e-07
500000,1000,2.0839979697484523e-06,3.5099947126582265e-07,8.520000847056508e-07,3.400018613319844e-07,5.010006134398282e-07
500000,1000,3.2559983083046973e-06,4.4999978854320943e-07,6.420013960450888e-07,5.410001904238015e-07,4.5100023271515965e-07
500000,1000,2.435001078993082e-06,4.809990059584379e-07,5.920010153204203e-07,3.710010787472129e-07,4.2000101529993117e-07
500000,1000,2.1240011847112328e-06,3.309978637844324e-07,5.410001904238015e-07,3.400018613319844e-07,5.209985829424113e-07
500000,1000,1.4520010154228657e-06,5.410001904238015e-07,4.300018190406263e-07,3.4099866752512753e-07,4.799985617864877e-07
500000,1000,2.073997166007757e-06,3.5099947126582265e-07,6.709997251164168e-07,3.309978637844324e-07,4.309986252337694e-07
500000,1000,2.3140019038692117e-06,3.410023055039346e-07,6.119989848230034e-07,4.710018401965499e-07,5.510009941644967e-07
500000,1000,2.6849993446376175e-06,3.410023055039346e-07,8.919996616896242e-07,5.209985829424113e-07,5.110014171805233e-07
500000,1000,2.053999196505174e-06,3.410023055039346e-07,6.609989213757217e-07,5.410001904238015e-07,7.90998456068337e-07
500000,1000,2.7050009521190077e-06,5.410001904238015e-07,5.809997674077749e-07,4.309986252337694e-07,4.4099942897446454e-07
500000,1000,3.3570031519047916e-06,3.6100027500651777e-07,8.709976100362837e-07,4.6100103645585477e-07,3.400018613319844e-07
500000,1000,2.9750008252449334e-06,5.310030246619135e-07,5.309993866831064e-07,4.209978214930743e-07,5.309993866831064e-07
500000,1000,4.4579974201042205e-06,4.5100023271515965e-07,4.609973984770477e-07,4.1100065573118627e-07,5.809997674077749e-07
500000,1000,2.735003363341093e-06,5.209985829424113e-07,7.510025170631707e-07,6.709997251164168e-07,5.010006134398282e-07
500000,1000,2.2749991330783814e-06,3.00002284348011e-07,5.710026016458869e-07,6.109985406510532e-07,6.310001481324434e-07
500000,1000,2.0139996195212007e-06,5.310030246619135e-07,4.809990059584379e-07,3.300010575912893e-07,5.410001904238015e-07
500000,1000,2.0240004232618958e-06,3.4999902709387243e-07,3.9099904824979603e-07,3.5999983083456755e-07,5.509973561856896e-07
500000,1000,1.934000465553254e-06,3.2000025385059416e-07,5.209985829424113e-07,4.400026227813214e-07,4.0099985199049115e-07
