seq,naive1,naive2,naive3,kmp1,kmp2,kmp3
510000,1.2332960322964934e-06,1.4909039891790598e-06,1.2597600143635645e-06,1.392693899106234e-06,1.3285440218169243e-06,1.332479943812359e-06
520000,1.099583962059114e-06,1.3664739090017977e-06,1.2467920605558902e-06,1.3427720550680532e-06,1.372191887639928e-06,1.3678842151421119e-06
530000,1.0695900200516918e-06,1.242528000148013e-06,1.0439599718665706e-06,1.2992119663977065e-06,1.2631399513338693e-06,1.2263380194781346e-06
540000,1.1538980470504612e-06,1.251295951078646e-06,1.1526480157044718e-06,1.3802259563817642e-06,1.3219219763414003e-06,1.3544440080295317e-06
550000,1.051576044119429e-06,1.3057640244369396e-06,1.1761940259020775e-06,1.2639679698622783e-06,1.2463840685086328e-06,1.2606719392351808e-06
560000,1.3177659784560094e-06,1.5019181300885976e-06,1.3545500187319706e-06,1.4523379868478518e-06,1.4570139683200976e-06,1.678782020462677e-06
570000,1.1805579852079971e-06,1.5061419398989527e-06,1.3436779263429348e-06,1.7243580441572703e-06,1.45197995880153e-06,1.508896035375074e-06
580000,1.1661620083032175e-06,1.3597898214356971e-06,1.1548061156645418e-06,1.322173950029537e-06,1.4153460215311498e-06,1.4274799104896376e-06
590000,1.2603040813701228e-06,1.3757559863734056e-06,1.1998900299658997e-06,1.4870880404487252e-06,1.4725199071108362e-06,1.4281640105764381e-06
600000,1.186303852591664e-06,1.4939458997105246e-06,1.3877539240638722e-06,1.523406033811625e-06,1.6565141049795782e-06,1.5649080014554782e-06
610000,1.3610379974124951e-06,1.562983976327814e-06,1.3291480063344353e-06,1.4913779450580473e-06,1.4512780253426172e-06,1.460121995478403e-06
620000,1.1993580119451509e-06,1.392425983794965e-06,1.1936539667658508e-06,1.4124520239420236e-06,1.5173880892689342e-06,1.4379180138348605e-06
630000,1.1330280249239876e-06,1.3631499678012917e-06,1.1978240436292255e-06,1.3654540016432292e-06,1.3816979844705202e-06,1.4563459262717515e-06
640000,1.3606179418275134e-06,1.6628260127617976e-06,1.3250140764284882e-06,1.6105860850075258e-06,1.491951959906146e-06,1.4908880111761392e-06
650000,1.2328481025178917e-06,1.7389660279150117e-06,1.3868119349353945e-06,1.4875200649839824e-06,1.5408159961225465e-06,1.5351019683293995e-06
660000,1.2758120064972901e-06,1.4467639412032443e-06,1.3000359831494279e-06,1.3741399816353804e-06,1.4491880356217732e-06,1.418422085407656e-06
670000,1.2370119802653788e-06,1.4508920212392694e-06,1.2513180117821324e-06,1.3910898996982724e-06,1.316852009040304e-06,1.415432016074192e-06
680000,1.2267079873709008e-06,1.4728098467458039e-06,1.3678399700438602e-06,1.6042039060266693e-06,1.498737939982675e-06,1.526395935798064e-06
690000,1.2571940023917706e-06,1.4318941393867136e-06,1.3299619822646492e-06,1.6433639393653719e-06,1.4901459871907721e-06,1.4476520445896309e-06
700000,1.1953259891015478e-06,1.4970299962442369e-06,1.3654459617100659e-06,1.4988320399424989e-06,1.4330699705169535e-06,1.426044007530436e-06
710000,1.2782060075551276e-06,1.6737260521040299e-06,1.2717759163933807e-06,1.5571980329696087e-06,1.4734060168848375e-06,1.4675481288577429e-06
720000,1.1145699463668279e-06,1.305676058109384e-06,1.2005240787402728e-06,1.4681940083391963e-06,1.526809894130565e-06,1.3919620687374845e-06
730000,1.130009986809455e-06,1.280615950236097e-06,1.1547838876140303e-06,1.382296009978745e-06,1.3505959359463304e-06,1.3577799691120163e-06
740000,1.1135060267406516e-06,1.4011520033818669e-06,1.2449558926164172e-06,1.3651240587932988e-06,1.3294800155563282e-06,1.3262499123811721e-06
750000,1.1540719133336098e-06,1.4478419252554885e-06,1.5754939740872939e-06,1.3983900789753532e-06,1.5118439405341631e-06,1.484545922721736e-06
760000,1.2626319366972894e-06,1.4266980724642056e-06,1.2500680022640152e-06,1.6057360553531905e-06,1.4816939801676197e-06,1.5084920378285459e-06
770000,1.2773119960911572e-06,1.4072100166231392e-06,1.1902359983650968e-06,1.363908064377029e-06,1.3865680230082947e-06,1.3723280426347627e-06
780000,1.258117947145365e-06,1.4083679197938182e-06,1.2426699759089392e-06,1.6653000348014756e-06,1.4715579600306226e-06,1.5497380081797018e-06
790000,1.1897299918928183e-06,1.4035420390428043e-06,1.2280139853828588e-06,1.4056560685276056e-06,1.394941966282204e-06,1.4419999497476964e-06
800000,1.1363480080035515e-06,1.3619419623864814e-06,1.2576759618241338e-06,1.6059899498941377e-06,1.3120040821377185e-06,1.387137970596086e-06
810000,1.1050560278818012e-06,1.4090000258875082e-06,1.1805800822912715e-06,1.4513699425151572e-06,1.3259301849757319e-06,1.3284199667396023e-06
