seq,naive1,naive2,naive3,kmp1,kmp2,kmp3
10000,2.4365202261833476e-07,2.3298399173654617e-07,2.3623400920769195e-07,6.192379587446341e-07,2.3725593928247692e-07,2.610198280308395e-07
11000,2.387980639468878e-07,2.3170011263573536e-07,2.345119719393551e-07,2.3800996132194999e-07,2.3652998061152178e-07,2.3743615747662263e-07
12000,2.570601354818791e-07,2.4606594524811955e-07,2.41307912801858e-07,2.470959225320257e-07,2.473120912327431e-07,2.4661397037561984e-07
13000,2.4234395095845687e-07,3.166160749970005e-07,2.3688805231358856e-07,2.4089206999633465e-07,2.391999878454954e-07,2.3807804245734587e-07
14000,2.403480175416917e-07,2.3459202930098399e-07,2.385180050623603e-07,2.3773589782649653e-07,2.375680196564645e-07,2.804080359055661e-07
15000,2.3335591686191037e-07,2.275440274388529e-07,2.3167600738815967e-07,2.3606997274328023e-07,2.3490803869208318e-07,2.3635812976863237e-07
16000,2.3142002464737743e-07,2.274759026477113e-07,2.3172198416432363e-07,2.3491801402997222e-07,2.393240429228172e-07,2.3944400891195983e-07
17000,2.406558633083478e-07,2.360320067964494e-07,2.390740264672786e-07,3.2977393857436257e-07,2.3975587828317656e-07,2.414297923678532e-07
18000,2.4228597612818705e-07,2.287898751092143e-07,2.3188003979157653e-07,2.3460801457986235e-07,2.3232596868183466e-07,2.3286810028366743e-07
19000,2.509540936443955e-07,2.3636403784621507e-07,2.3724995116936042e-07,2.3854403116274624e-07,2.3661203158553694e-07,2.380099758738652e-07
20000,2.388940265518613e-07,2.3452204186469316e-07,2.5066582747967916e-07,2.3818792396923524e-07,2.566979601397179e-07,2.4132387625286355e-07
21000,2.3867000709287825e-07,2.323020089534111e-07,2.3543796851299702e-07,2.3570802295580506e-07,2.3459201474906873e-07,2.3612396762473507e-07
22000,2.459719689795747e-07,2.3487403814215213e-07,2.411939785815775e-07,2.4032206420088185e-07,2.5876799190882596e-07,2.4111003585858276e-07
23000,2.4895799288060515e-07,2.4733392638154327e-07,2.4453587684547527e-07,2.3921795946080234e-07,2.4087003839667886e-07,2.3994196089915933e-07
24000,2.6023203099612144e-07,2.4544793268432843e-07,5.57217987079639e-07,2.4824801221257076e-07,2.4847598979249596e-07,2.52067948167678e-07
25000,3.2751790422480554e-07,2.565379545558244e-07,2.465779252815992e-07,2.518078254070133e-07,2.564601527410559e-07,2.477800226188265e-07
26000,2.458440358168445e-07,2.361458973609842e-07,2.380720325163566e-07,2.4439803382847456e-07,2.36372092331294e-07,2.3733408306725326e-07
27000,2.407418796792626e-07,2.3405384854413573e-07,2.378739227424376e-07,2.3696797143202276e-07,2.376799675403162e-07,2.5088605616474524e-07
28000,2.3803395743016153e-07,2.3305396462092176e-07,2.3635206161998212e-07,2.386880441918038e-07,2.3800601047696547e-07,2.3798802430974317e-07
